HIOS ID,HIOS INPUTTED INSURANCE COMPANY NAME,STATE,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE),"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)
97560,"UnitedHealthcare of Mississippi, Inc.",MS,4885097.12,6982868.71,-171305.95
98805,UnitedHealthcare Insurance Company,MS,N/E,$-,544325.88
23603,PacificSource Health Plans,MT,3495987.92,4481331.95,30184.01
30751,Blue Cross and Blue Shield of Montana,MT,17130961.48,-5337903.73,157176.77
32225,Montana Health Cooperative,MT,4262930.36,856571.75,-369600.60
46621,UnitedHealthcare Insurance Company,MT,N/E,$-,182239.73
11512,Blue Cross Blue Shield of North Carolina,NC,94120592.05,150165052.87,20320343.90
24588,Federated Mutual Insurance Company,NC,N/E,$-,-850145.02
32237,Humana Insurance Company,NC,454507.19,-1766155.71,$-
40411,Cigna Health and Life Insurance Company,NC,574641.37,-717206.52,$-
42754,UnitedHealthcare Life Insurance Company,NC,891856.39,-3588674.30,$-
43283,FirstCarolinaCare Insurance Company,NC,N/E,$-,369444.19
44007,Celtic Insurance Company,NC,0.00,8490.39,$-
54332,"UnitedHealthcare of North Carolina, Inc.",NC,29590096.56,-54829193.06,-7434771.42
56346,"Coventry Health Care of the Carolinas, Inc.",NC,34304.97,464269.47,-5608555.46
58658,UnitedHealthcare Insurance Company of the River Valley,NC,N/E,$-,-2599069.46
61644,Aetna Life Insurance Company,NC,N/E,$-,-943358.48
61671,Aetna Health Inc. (a PA corp.),NC,21487642.81,-89736583.12,-93039.81
69347,UnitedHealthcare Insurance Company,NC,N/E,$-,-2779689.38
72487,All Savers Insurance Company,NC,N/E,$-,-55136.27
94459,Coventry Health and Life,NC,N/E,$-,-326022.64
37160,Blue Cross Blue Shield of North Dakota,ND,7183989.12,5450054.61,788699.06
39364,Medica Insurance Company,ND,N/E,$-,634824.54
73751,Medica Health Plans,ND,1374734.61,-1809702.29,129354.14
89364,Sanford Health Plan,ND,824355.88,-3640352.33,-1552877.70
15438,Coventry Health Care of Nebraska Inc.,NE,10568365.68,-14085301.00,-511279.04
20305,Medica Insurance Company,NE,2937716.48,11059909.41,$-
29678,Blue Cross and Blue Shield of Nebraska,NE,18276356.34,13703605.42,-3814395.91
44751,"UnitedHealthcare of the Midlands, Inc.",NE,3192423.23,-8997296.89,$-
47340,Federated Mutual Insurance Company,NE,N/E,$-,-733269.63
68389,UnitedHealthcare Life Insurance Company,NE,1343802.98,-1689164.64,$-
73102,UnitedHealthcare Insurance Company,NE,N/E,$-,4767583.27
77931,Health Alliance Midwest Inc.,NE,0.00,8247.75,-8402.32
79636,Coventry Health and Life,NE,N/E,$-,299763.65
19304,Maine Community Health Options,NH,3738551.04,8228830.00,-2828659.52
51889,UnitedHealthcare Insurance Company,NH,N/E,$-,-178154.70
57601,Anthem Health Plans of NH(Anthem BCBS),NH,N/E,$-,1894646.99
59025,Harvard Pilgrim Health Care of NE,NH,4267598.46,367444.85,-2597413.63
61163,"Minuteman Health, Inc.",NH,2678709.62,-25420942.91,-24124.42
71616,"HPHC Insurance Company, Inc",NH,N/E,$-,1864931.25
75841,Celtic Insurance Company,NH,1952213.02,17279612.16,$-
86365,Tufts Health Freedom Insurance Company,NH,N/E,$-,-527864.53
96751,Matthew Thornton Hlth Plan(Anthem BCBS),NH,6413731.87,-454944.09,2396638.59
10191,Freelancers CO-OP of New Jersey,NJ,15360457.20,13846054.57,-7147951.36
13953,"Horizon Healthcare of New Jersey, Inc.",NJ,0.00,-4840.86,3260175.89
23458,Cigna Health and Life Insurance Company,NJ,N/E,$-,57146.87
41014,"Cigna HealthCare of New Jersey, Inc.",NJ,742489.29,2555962.42,523.26
48834,"Oxford Health Plans (NJ), Inc.",NJ,3302998.95,3394240.38,-189101.21
50221,Oscar Insurance Corporation of New Jersey,NJ,4150648.26,-27121632.72,$-
77263,"Oxford Health Insurance, Inc.",NJ,9589590.25,53596343.52,7713849.61
77606,AmeriHealth HMO,NJ,4743483.65,-4722553.93,-13205635.95
82884,Aetna Health Inc. (a NJ corp.),NJ,N/E,$-,-9662880.03
89217,Aetna Life Insurance Company,NJ,1890405.94,6356361.63,-5730100.37
91661,"Horizon Healthcare Services, Inc.",NJ,50155766.06,-84325185.20,26681850.74
91762,AmeriHealth Ins Company of New Jersey,NJ,41759162.30,36425250.15,-1777877.29
19722,"Molina Healthcare of New Mexico, Inc.",NM,1237375.41,4371278.82,$-
28163,Celtic Insurance Company,NM,0.00,-12382.28,$-
52744,Presbyterian Insurance Company,NM,N/E,$-,-3330860.38
57173,Presbyterian Health Plan,NM,6321646.56,3104066.63,-786361.40
72034,CHRISTUS Health Plan,NM,22380.16,-3546966.80,$-
75605,Blue Cross Blue Shield of New Mexico,NM,515666.69,-136719.12,8888567.76
90762,UnitedHealthcare Insurance Company,NM,N/E,$-,313275.66
93091,New Mexico Health Connections,NM,3009737.98,-3779277.30,-5084621.64
16698,Prominence HealthFirst,NV,2283593.67,-1517979.46,-2389813.59
17255,Golden Rule Insurance Company,NV,204415.47,-1071172.33,$-
19298,Aetna Health Inc. (a PA corp.),NV,0.00,-835974.11,224843.43
20895,Humana Insurance Company,NV,N/E,$-,534684.37
27990,Aetna Life Insurance Company,NV,1381959.06,-4923899.31,2003327.80
33670,Rocky Mountain Hos&Med Svc(Anthem BCBS),NV,9683664.86,9941477.55,4529549.04
41094,Hometown Health Plan Inc,NV,0.00,-528674.34,-761267.17
42313,WMI Mutual Insurance Company,NV,N/E,$-,-37586.32
49021,Coventry Health and Life,NV,N/E,$-,-462.04
60156,HMO Colorado Inc(Anthem BCBS),NV,2165656.09,-491903.28,-178229.69
65693,Freedom Life Insurance Company of America,NV,0.00,-3364.41,$-
65779,Altius Health Plans Inc.,NV,N/E,$-,-1074.53
68307,Celtic Insurance Company,NV,0.00,-8892.08,$-
68524,"Prominence Preferred Health Insurance Company, Inc.",NV,N/E,$-,-61193.17
74222,UnitedHealthcare Insurance Company,NV,N/E,$-,538856.08
83198,"Sierra Health and Life Insurance Company, Inc.",NV,8209939.49,13434434.68,266851.71
85266,"Hometown Health Providers Insurance Company, Inc",NV,57350.90,-674631.16,-1995391.69
93696,Humana Health Plan Inc.,NV,N/E,$-,-236913.35
95865,"Health Plan of Nevada, Inc.",NV,5618554.15,-13319421.75,-2436180.93
11177,Metro Plus Health Plan,NY,1351405.68,-30691628.34,-4170812.16
17210,Aetna Life Insurance Company,NY,68477.14,-52359.96,-70076905.13
18029,Independent Health Benefits Corporation,NY,1614058.33,9237924.35,5830441.45
25303,"New York State Catholic Health Plan, Inc.",NY,7460063.12,-72347372.76,$-
26420,"Oxford Health Plans (NY), Inc.",NY,19094756.11,79007342.63,-9938585.16
36346,BlueShield of Northeastern New York,NY,778269.59,2140828.25,-5132269.24
39595,WellCare of New York,NY,0.00,-2270393.89,$-
40064,HealthNow New York,NY,0.00,-1918.83,36631.06
43477,Crystal Run Health Plan LLC,NY,N/E,$-,-2731788.31
44113,"Empire HealthChoice Assurance, Inc.",NY,N/E,$-,-2065584.77
49526,BlueCross BlueShield of Western New York,NY,2313906.72,8451718.41,15271458.56
54235,"UnitedHealthcare of New York, Inc",NY,3719122.63,5932308.11,$-
54297,UnitedHealthcare Insurance Company of New York,NY,0.00,$-,154548.48
56184,MVP Health Care Inc.,NY,6428619.97,8841541.49,-2074437.38
57165,"Affinity Health Plan, Inc.",NY,1183456.71,-9261635.02,$-
70552,Independent Health Association,NY,N/E,$-,-665338.12
73886,Crystal Run Health Insurance Company Inc.,NY,86803.52,256671.44,-3327386.24
74289,Oscar Insurance Corporation,NY,19687058.53,-44218095.76,$-
78124,"Excellus Health Plan, Inc.",NY,6810910.87,27204905.43,-28032786.96
80519,"Empire HealthChoice HMO, Inc.",NY,25247614.68,36682245.97,659191.77
82483,North Shore-LIJ Insurance Company Inc,NY,6258273.72,-19781114.37,-111975778.70
83744,"HealthFirst Health Plan, Inc.",NY,N/E,$-,-86123.38
85629,"Oxford Health Insurance, Inc.",NY,N/E,$-,254933460.93
88000,Group Health Incorporated,NY,341226.29,1232207.56,-5912.85
88582,Health Insurance Plan of Greater New York,NY,4243862.71,8036080.89,-35246057.62
89846,MVP Health Care Inc.,NY,N/E,$-,-6686816.31
91237,Healthfirst PHSP Inc.,NY,2161266.62,-15553342.32,$-
92551,"CDPHP, Universal Benefits Inc.",NY,N/E,$-,7187495.44
94788,"Capital District Physicians' Health Plan, Inc.",NY,2063700.29,7154086.73,-1856645.22
16204,Coordinated Health Mutual,OH,7441726.47,-2492656.84,-11674650.02
20126,HealthSpan Integrated Care,OH,1402007.29,431007.37,-4189027.32
23340,Consumers Life Insurance Company,OH,10111.86,-1964185.40,$-
26734,Premier Health Plan,OH,1287548.66,-3009733.85,$-
28162,AultCare Insurance Company,OH,1136982.67,-1545137.86,79069.87
29276,Community Insurance Company(Anthem BCBS),OH,16021049.52,23234667.90,18149090.71
33232,UnitedHealthcare Insurance Company of the River Valley,OH,N/E,$-,-1650809.72
33931,"UnitedHealthcare of Ohio, Inc.",OH,4045119.45,1045021.61,$-
41047,Buckeye Community Health Plan,OH,1056417.74,-9939903.66,$-
52664,"Summa Insurance Company, Inc.",OH,2018197.77,241239.17,1457619.05
56073,Nippon Life Insurance Company of America,OH,N/E,$-,11898.16
56726,UnitedHealthcare Insurance Company,OH,N/E,$-,926423.44
61724,UnitedHealthcare Life Insurance Company,OH,1737137.87,4086573.63,-6324051.22
62352,Celtic Insurance Company,OH,0.00,-10129.47,$-
64353,"Molina Healthcare of Ohio, Inc.",OH,1263877.19,-576660.23,$-
66083,"Humana Health Plan of Ohio, Inc.",OH,1676810.60,-415576.63,-3325716.01
67129,Aetna Life Insurance Company,OH,3316193.33,-13600470.61,-468332.98
74313,Paramount Insurance Company,OH,885793.20,-2330312.51,1133285.63
77552,CareSource,OH,8031608.79,-34109342.06,$-
78726,All Savers Insurance Company,OH,1319057.07,4214131.36,$-
80627,Medical Mutual of Ohio,OH,18051088.44,7611488.99,9611713.69
83396,The Health Plan of the Upper Ohio Valley,OH,0.00,-181137.46,-59141.79
84867,Aetna Health Inc. (a PA corp.),OH,N/E,$-,-3900742.74
92036,HealthSpan Incorporated,OH,950538.26,1093298.18,-971964.91
96800,Federated Mutual Insurance Company,OH,N/E,$-,863960.13
97596,Humana Insurance Company,OH,N/E,$-,-384160.46
98810,THP Insurance Company,OH,N/E,$-,90449.77
98894,Coventry Health and Life,OH,0.00,$-,592553.34
99969,Medical Mutual of Ohio,OH,19747201.84,28217818.37,32533.18
23468,Humana Insurance Company,OK,0.00,-20589.96,-15629.24
27243,Federated Mutual Insurance Company,OK,N/E,$-,-367576.39
45480,"UnitedHealthcare of Oklahoma, Inc.",OK,2459539.83,5010932.12,-179056.70
53524,Coventry Health and Life,OK,N/E,$-,-53793.64
62505,Celtic Insurance Company,OK,0.00,-6490.76,$-
66946,Aetna Life Insurance Company,OK,N/E,$-,341655.17
76275,Aetna Health Inc. (a PA corp.),OK,N/E,$-,-160873.47
82209,Freedom Life Insurance Company of America,OK,0.00,-2498.84,$-
85757,UnitedHealthcare Insurance Company,OK,N/E,$-,-331381.33
87571,Blue Cross Blue Shield of Oklahoma,OK,34729150.38,-3948818.13,9258058.89
87698,CommunityCare Life & Health Insurance Co,OK,0.00,-7206.53,-1556478.29
98704,UnitedHealthcare Life Insurance Company,OK,515261.49,-666540.06,$-
98905,CommunityCare HMO Inc.,OK,442540.07,-358787.81,-6934924.82
10091,PacificSource Health Plans,OR,2561569.74,9211343.15,2650866.63
10940,"Health Net Plan of Oregon, Inc.",OR,550910.97,2480143.20,2264459.82
30969,"Zoom Health Plan, Inc.",OR,25265.62,-1946142.20,-177059.44
32536,ATRIO Health Plans,OR,565037.28,-2249966.76,-86927.73
33375,Samaritan Health Plans,OR,N/E,$-,92877.74
39424,Moda Health Plan Inc,OR,21536686.44,33462328.92,-972379.63
56707,Providence Health Plan,OR,20220108.78,-36194842.92,-5563412.11
63474,BridgeSpan Health Company (OR),OR,170709.72,-597610.71,$-
71287,Kaiser Foundation Health Plan of the Northwest,OR,3740430.21,3959354.51,1489329.65
77969,Regence BlueCross BlueShield of Oregon,OR,4627308.73,1694890.09,4558873.15
85804,Lifewise Health Plan of Oregon,OR,4373110.76,-7611069.39,-756294.72
90175,UnitedHealthcare Insurance Company,OR,N/E,$-,34142.28
95417,TRILLIUM COMMUNITY HEALTH PLAN,OR,0.00,163520.87,-18616.21
99389,"Community Care of Oregon, Inc.",OR,1426141.65,-2371948.67,-3515859.40
16072,Coventry Health and Life,PA,N/E,$-,-104427.04
16322,UPMC Health Options,PA,18516908.47,-5211297.35,12239314.33
18939,"Aetna HealthAssurance Pennsylvania, Inc.",PA,N/E,$-,-4892978.32
22444,Geisinger Health Plan,PA,5014140.76,2695562.98,-2263959.52
23489,UnitedHealthcare Insurance Company,PA,N/E,$-,-6368539.30
24872,"UnitedHealthcare of Pennsylvania, Inc.",PA,3711025.59,-14547161.39,$-
31609,Independence Blue Cross (QCC Ins Co.),PA,23746836.95,74118152.98,32747625.97
33709,Highmark Inc.,PA,8120535.88,-3929579.78,-2657961.99
33871,Keystone Health Plan East,PA,23860951.77,-53397058.27,-10258625.79
33906,Aetna Life Insurance Company,PA,0.00,-64.10,-835761.71
36247,Highmark Select Resources Inc.,PA,5266380.98,3930303.89,$-
38949,Keystone Health Plan West,PA,0.00,232540.31,-18946.25
45127,Capital Advantage Assurance Company,PA,13180606.35,13226705.35,-6125098.38
45404,UnitedHealthcare Life Insurance Company,PA,264047.29,-300893.24,$-
48788,AmeriHealth Administrators,PA,N/E,$-,-455847.71
53789,Keystone Health Plan Central,PA,5430422.97,-35510815.31,-946154.73
55957,First Priority Life Insurance Company,PA,10257016.46,-6653749.71,3259788.02
62560,UPMC Health Coverage,PA,N/E,$-,-1157499.00
64844,Aetna Health Inc. (a PA corp.),PA,12886104.30,-31760032.80,-5577917.84
70194,Highmark Health Insurance Company,PA,19268231.33,49750020.05,-437219.75
75729,Geisinger Quality Options,PA,2364122.23,7409434.09,-584164.12
79279,Highmark Coverage Advantage Inc.,PA,N/E,$-,165130.65
79962,Highmark Benefits Group Inc.,PA,N/E,$-,989556.68
80148,Federated Mutual Insurance Company,PA,N/E,$-,-2016940.67
82795,Capital Advantage Insurance Company CAIC,PA,0.00,-52067.55,-140667.23
93838,"HealthAssurance PA, Inc",PA,N/E,$-,-4558706.29
15287,Blue Cross & Blue Shield of Rhode Island,RI,5862148.72,6027710.92,7448774.01
26322,Tufts Associated Health Maintenance Organization Inc.,RI,N/E,$-,631334.81
77514,Neighborhood Health Plan of Rhode Island,RI,305755.06,-5606340.68,-745071.90
79881,"UnitedHealthcare of New England, Inc.",RI,254775.09,-421370.22,-3847407.20
90010,Tufts Associated Health Maintenance Organization Inc.,RI,N/E,$-,-1612343.09
90117,UnitedHealthcare Insurance Company,RI,N/E,$-,-1875286.65
14820,Nippon Life Insurance Company of America,SC,N/E,$-,-85992.93
17808,Humana Insurance Company,SC,0.00,-7953.72,$-
22369,Aetna Life Insurance Company,SC,N/E,$-,60604.68
26065,Blue Cross and Blue Shield of South Carolina,SC,23566473.38,-13226650.55,5890942.63
33609,Federated Mutual Insurance Company,SC,N/E,$-,-547629.18
38408,Aetna Health Inc. (a PA corp.),SC,3570997.22,6317313.74,198929.47
39481,UnitedHealthcare Life Insurance Company,SC,1189967.63,1009347.25,$-
41614,"Coventry Health Care of the Carolinas, Inc.",SC,0.00,34289.95,-1171114.15
49532,"BlueChoice HealthPlan of South Carolina, Inc.",SC,23997367.97,4289951.73,-5221980.60
54362,Cigna Health and Life Insurance Company,SC,309175.63,1025644.49,$-
56262,Coventry Health and Life,SC,N/E,$-,-80436.49
57860,UnitedHealthcare Insurance Company,SC,306752.92,565945.16,181519.45
60067,Celtic Insurance Company,SC,0.00,-7367.49,$-
64146,UnitedHealthcare Insurance Company of the River Valley,SC,N/E,$-,775157.13
80431,Freedom Life Insurance Company of America,SC,0.00,-520.68,$-
31195,Sanford Health Plan,SD,2965610.59,-4227905.42,820064.68
50305,"Wellmark of South Dakota, Inc",SD,3917071.73,8404038.14,-351961.40
60536,"Avera Health Plans, Inc.",SD,5852231.13,-4206700.98,791931.37
62210,"South Dakota State Medical Holding Company, Inc.",SD,258116.34,30568.28,-1768952.72
64255,Federated Mutual Insurance Company,SD,N/E,$-,518907.85
96594,Medica Insurance Company,SD,N/E,$-,-9989.81
10958,UnitedHealthcare Insurance Company of the River Valley,TN,N/E,$-,-5545932.81
14002,BlueCross BlueShield of Tennessee,TN,67460123.57,40053163.35,6915643.83
16348,TRH Health Insurance Company,TN,591067.72,-4607851.23,$-
17032,Nippon Life Insurance Company of America,TN,N/E,$-,-28425.82
31552,Aetna Life Insurance Company,TN,21837.26,-130203.17,-113561.26
48069,UnitedHealthcare Life Insurance Company,TN,50470.53,-301887.10,$-
69443,UnitedHealthcare Insurance Company,TN,6404602.34,-11876109.92,14454.67
82120,Humana Insurance Company,TN,6589586.31,1781992.58,307106.48
83463,Federated Mutual Insurance Company,TN,N/E,$-,-967358.16
93222,Humana Health Plan. Inc.,TN,N/E,$-,-581926.73
99248,Cigna Health and Life Insurance Company,TN,2323303.71,-24919104.44,$-
19046,Federated Mutual Insurance Company,TX,N/E,$-,-1267391.46
20069,Oscar Insurance Company of Texas,TX,5631247.02,-27966031.41,$-
26539,"SHA, LLC",TX,5445263.34,9379089.11,-1417544.26
27248,"Community Health Choice, Inc.",TX,9655687.10,-64443832.93,$-
29418,Celtic Insurance Company,TX,3672358.87,-38502143.79,$-
30609,Memorial Hermann Health Insurance Company,TX,1800624.38,-704433.24,-6534006.97
32673,"Humana Health Plan of Texas, Inc.",TX,14209617.01,23973511.28,-10567282.01
33602,Blue Cross Blue Shield of Texas,TX,135693228.92,59463978.57,40787445.10
37392,"Prominence HealthFirst of Texas, Inc.",TX,720093.17,598698.13,-25501.41
37755,Insurance Company of Scott & White,TX,21420802.07,34870822.70,-564083.43
40220,"UnitedHealthcare of Texas, Inc.",TX,N/E,$-,-4918469.44
40788,Scott and White Health Plan,TX,3121959.08,4400630.58,-14473480.33
41541,Memorial Hermann Health Plan,TX,394936.55,-1608171.62,-1463958.09
41549,Southwest Life and Health,TX,N/E,$-,371800.01
45125,Nippon Life Insurance Company of America,TX,N/E,$-,12367.39
45786,"Molina Healthcare of Texas, Inc.",TX,4075833.89,-125970565.26,$-
46224,Community First Health Plans,TX,895127.51,2895968.79,$-
53799,Freedom Life Insurance Company of America,TX,230293.45,306657.04,$-
55409,Cigna Health and Life Insurance Company,TX,11089728.05,30080696.33,$-
58840,Aetna Health Inc.(a TX corp.),TX,N/E,$-,-210204.68
63141,Humana Insurance Company,TX,40825576.65,75959121.33,-1009234.40
63509,Allegian Insurance Company,TX,3690911.19,212479.07,-244378.85
66252,CHRISTUS Health Plan,TX,1195743.02,-3411685.14,$-
70619,UnitedHealthcare Life Insurance Company,TX,11720137.04,7301644.58,$-
71837,"Sendero Health Plans, Inc.",TX,1208911.99,-30547269.78,$-
76589,"Cigna HealthCare of Texas, Inc.",TX,3142869.57,5195337.43,$-
81795,USAble Mutual Insurance Company,TX,N/E,$-,-329726.42
85947,All Savers Insurance Company,TX,35653296.37,36327886.59,-51719.18
91716,Aetna Life Insurance Company,TX,22268041.61,2187611.73,7021712.97
92224,National Health Insurance Company,TX,N/E,$-,-44578.74
98809,UnitedHealthcare Insurance Company,TX,N/E,$-,-5071765.69
18167,"Molina Healthcare of Utah, Inc.",UT,4248954.73,-31798539.87,$-
21400,National Foundation Life Insurance Company,UT,0.00,2785.91,$-
22013,Regence BlueCross BlueShield of Utah,UT,2005943.85,2957250.22,5097980.75
29031,National Health Insurance Company,UT,N/E,$-,-571381.98
34541,BridgeSpan Health Company (UT),UT,84736.66,90156.55,$-
38927,Altius Health Plans Inc.,UT,633404.46,-2076263.76,-1421968.44
42261,University of Utah Health Insurance Plans,UT,1125715.23,11236007.43,$-
43129,UnitedHealthcare Life Insurance Company,UT,171226.54,316788.43,$-
46958,Humana Insurance Company,UT,602352.46,1967946.16,-513885.76
48588,Aetna Life Insurance Company,UT,N/E,$-,-115661.76
56764,"Humana Medical Plan of Utah, Inc.",UT,521649.44,-5105680.26,$-
66413,"UnitedHealthcare of Utah, Inc.",UT,N/E,$-,-599027.37
68781,SelectHealth,UT,32012506.70,22409549.17,-995925.57
80043,WMI Mutual Insurance Company,UT,N/E,$-,224428.95
97462,UnitedHealthcare Insurance Company,UT,N/E,$-,-1104558.88
10207,CareFirst BlueChoice,VA,3834092.16,-2023576.08,-4478166.05
12028,Innovation Health Insurance Company,VA,9072744.96,-39102743.29,-3471411.72
13433,Federated Mutual Insurance Company,VA,N/E,$-,602837.69
15668,Piedmont Community Health Plan,VA,1135083.82,-213248.62,522159.06
16064,Anthem Health Plans of VA(Anthem BCBS),VA,N/E,$-,27940259.33
20507,Optima Health,VA,10066985.84,48470286.14,7394826.90
24251,"Optimum Choice, Inc.",VA,N/E,$-,-1774401.86
25978,UnitedHealthcare Insurance Company,VA,N/E,$-,-11826669.96
37204,"Piedmont Community HealthCare HMO, Inc.",VA,956194.70,-1362.57,-15028.23
38234,Aetna Life Insurance Company,VA,3368946.19,6921051.63,-5705192.92
38599,UnitedHealthcare of the Mid-Atlantic Inc,VA,2221844.66,-3803967.28,-185983.78
40308,Group Hospitalization and Medical Services,VA,4801170.38,14829547.64,8480490.49
41892,Golden Rule Insurance Company,VA,20405.87,43730.30,$-
50727,Humana Insurance Company,VA,686239.96,-329364.82,$-
66663,UnitedHealthcare Life Insurance Company,VA,2207260.90,4297345.90,$-
86443,"Innovation Health Plan, Inc.",VA,N/E,$-,-6490772.52
88380,"HealthKeepers, Inc(Anthem BCBS)",VA,49181314.31,22279438.04,765174.64
89242,Optima Health,VA,0.00,$-,1834465.38
89498,"UnitedHealthcare Plan of the River Valley, Inc.",VA,N/E,$-,166643.30
93187,Aetna Health Inc. (a PA corp.),VA,N/E,$-,-9438645.84
93848,Coventry Health and Life,VA,N/E,$-,-100748.72
95185,"Kaiser Foundation Health Plan of the MidAtlantic States, Inc.",VA,6499213.85,-48146445.67,-3171646.65
99663,"Coventry Health Care of Virginia, Inc",VA,8254650.15,-3220691.27,-1048188.41
18581,Community Health Plan of Washington,WA,181597.37,570276.74,$-
18699,UnitedHealthcare Insurance Company,WA,N/E,$-,-611615.77
23371,Kaiser Foundation Health Plan of the Northwest,WA,1194007.04,-5128307.73,773316.38
25768,"Group Health Options, Inc.",WA,3338075.15,2005.97,-5031843.29
34673,Aetna Life Insurance Company,WA,N/E,$-,-202254.30
36026,"Health Net Plan of Oregon, Inc.",WA,N/E,$-,-784680.45
38229,Health Alliance Northwest Health Plan Inc.,WA,0.00,-17276.58,$-
38498,Lifewise Health Plan of Washington,WA,7633787.69,-11353357.47,$-
43861,"UnitedHealthcare of Washington, Inc.",WA,1629247.66,4943888.94,-654964.49
49831,Premera Blue Cross,WA,32382313.37,48645541.56,-3250387.15
53732,BridgeSpan Health Company (WA),WA,2003386.23,5119648.78,$-
61836,Coordinated Care Corporation,WA,3500298.88,-29664686.35,$-
65907,Moda Health Plan Inc,WA,N/E,$-,-149736.07
69364,Asuris Northwest Health,WA,673612.99,-208979.24,2625859.50
71281,Regence BlueCross BlueShield Of Oregon(Clark County),WA,996467.25,1808456.10,326963.22
80473,Group Health Cooperative,WA,9278483.81,-30666000.99,-5999091.94
84481,"Molina Healthcare of Washington, Inc.",WA,2469062.93,-8236558.77,$-
87718,Regence BlueShield,WA,15120899.16,24185349.06,12958434.18
16245,Group Health Cooperative of Eau Claire,WI,N/E,$-,-1418065.92
20173,HealthPartners Insurance Company,WI,N/E,$-,-49142.54
32754,Managed Health Services Insurance Corporation,WI,916473.84,3858801.53,$-
35334,MercyCare Insurance Co,WI,N/E,$-,-164416.24
37833,Unity Health Plans Insurance Corporation,WI,4616486.19,12470418.63,839649.69
38166,"Security Health Plan of Wisconsin, Inc.",WI,12567946.68,-8972947.64,-1845484.62
38345,Dean Health Plan,WI,11101008.51,-20166088.59,-1180317.53
38752,Aetna Life Insurance Company,WI,N/E,$-,-2305487.20
39924,All Savers Insurance Company,WI,10093574.12,37956637.00,-431970.58
47342,Health Tradition Health Plan,WI,4888872.45,-12163004.94,-2172128.98
52697,"Molina Healthcare of Wisconsin, Inc.",WI,14529909.42,-20854745.86,$-
55103,Humana Wisconsin Health Org. Ins. Copr,WI,N/E,$-,-408112.82
57637,Medica Insurance Company,WI,N/E,$-,-1998867.88
57845,Medica Health Plans of Wisconsin,WI,2876225.47,-4884013.82,$-
58326,"MercyCare HMO, Inc.",WI,216322.43,-14819.28,405777.06
58564,Physicians Plus,WI,86662.36,66070.22,109919.09
59158,UnitedHealthcare Insurance Company,WI,N/E,$-,12017109.32
64772,Medical Associates Health Plans,WI,N/E,$-,-255930.58
69424,Pekin Life Insurance Company,WI,N/E,$-,-15301.61
79475,Compcare Health Serv Ins Co(Anthem BCBS),WI,3715370.52,2548765.78,2150353.12
80180,"UnitedHealthcare of Wisconsin, Inc.",WI,N/E,$-,-307479.88
81413,Network Health Plan,WI,1548847.30,1897726.68,-3546.19
81974,Wisconsin Physicians Svc Insurance Corp - WI,WI,2664058.34,4335937.83,3586360.55
84670,"WPS Health Plan, Inc. - WI",WI,6591187.23,1171732.92,-1644601.65
87416,Common Ground Healthcare Cooperative,WI,10480129.86,-1715699.95,-1961917.58
89106,UnitedHealthcare Life Insurance Company,WI,1593125.58,-1255163.33,$-
90028,BCBS of Wisconsin(Anthem BCBS),WI,N/E,$-,198402.12
91058,"Gundersen Health Plan, Inc.",WI,2265146.81,1397440.88,-4956513.34
91604,Humana Insurance Company,WI,3018929.45,3575498.87,779525.60
92708,Federated Mutual Insurance Company,WI,N/E,$-,-346329.03
94529,Group Health Cooperative of South Central Wisconsin,WI,268039.83,747453.25,1378517.48
14414,Federated Mutual Insurance Company,WV,N/E,$-,474905.74
31274,Highmark Blue Cross Blue Shield West Virginia,WV,18730898.51,2324973.19,-1377750.65
44434,Aetna Health Inc. (a PA corp.),WV,84736.66,-127253.89,96737.21
50318,Aetna Life Insurance Company,WV,N/E,$-,916317.90
50328,CareSource West Virginia Co.,WV,357970.72,-2281060.60,$-
59772,THP Insurance Company,WV,N/E,$-,328797.79
72982,The Health Plan of the Upper Ohio Valley,WV,2363.85,83341.33,105296.48
77060,UnitedHealthcare Insurance Company,WV,N/E,$-,-532150.18
95628,"Optimum Choice, Inc.",WV,N/E,$-,-12154.26
11269,Blue Cross Blue Shield of Wyoming,WY,13798004.70,8489.31,-1220295.56
49290,Celtic Insurance Company,WY,0.00,-8489.27,$-
49714,UnitedHealthcare Insurance Company,WY,N/E,$-,1358091.43
79022,Altius Health Plans Inc.,WY,N/E,$-,-137795.84
